title,company,location,posted_time,description,link
Python Engineer,InfoPeople Corp,"New Hyde Park, NY",2 weeks ago,"InfoPeople Corporation is currently seeking a Python Engineer with our direct client in their NYC , NY location. This is",https://www.dice.com/jobs/detail/Python-Engineer-InfoPeople-Corp-New-Hyde-Park-NY-11040/10186340/6318629
Senior Python Developer,Kivish Infotech Corp,"New York City, NY",1 week ago,"Position: Senior Python Developer Location:New York City, NY Duration:Long Term Experience : 8+ years Education : Bachelor's or...",https://www.dice.com/jobs/detail/Senior-Python-Developer-Kivish-Infotech-Corp-New-York-City-NY-10001/91027425/6341665
Software Engineer (Python),DTG Consulting Solutions Inc.,"New York, NY",4 days ago,Job Description Fortune 100 company is looking for a Back-end Software Engineer for design and execution of the company s,https://www.dice.com/jobs/detail/Software-Engineer-%28Python%29-DTG-Consulting-Solutions-Inc.-New-York-NY-10001/datacny/6338825
Python Developer,"Pyramid Consulting, Inc.","New York, NY",4 days ago,Immediate need for a talented Python Developer with experience in the Insurance Industry. This is a 6+ Months Contract opportunity,https://www.dice.com/jobs/detail/Python-Developer-Pyramid-Consulting%2C-Inc.-New-York-NY-10001/pyrmid/19%26%234553863
Python Lead,"Lorven Technologies, Inc.","New York, NY",20 hours ago,"Our client is looking for Python Lead in NYC, NY . Please find the detailed requirement listed at below Role:",https://www.dice.com/jobs/detail/Python-Lead-Lorven-Technologies%2C-Inc.-New-York-NY-10001/10120137/6190709
Python - Big data,OneAPPS,"Bethpage, NY",3 weeks ago,"Hi, At OneAPPS we are hiring Python - Big data on contract for one of our client projects. Employment Mode:",https://www.dice.com/jobs/detail/Python-%26%2345-Big-data-OneAPPS-Bethpage-NY-11714/10380629/6338600
Python Developer,"ValueLabs, Inc.","New York, NY",1 week ago,5-8 years exp with Python Developer and T-SQL(complex queries) Strong communication skills Ability to write complex SQL statements...,https://www.dice.com/jobs/detail/Python-Developer-ValueLabs%2C-Inc.-New-York-NY-10001/10493205/6341248
Python Developer,"PSR Associates, Inc.","New York, NY",7 days ago,"2-3 years of experience in Python & PySpark, Informatica ETL, SQL, SQL Server, data validation for large scale databases,...",https://www.dice.com/jobs/detail/Python-Developer-PSR-Associates%2C-Inc.-New-York-NY-10001/10115826/%2312905482
Python Developer,"Key Business Solutions, Inc.","New York, NY",4 days ago,"Python Developer NYC, NY/ Chicago, IL/ Austin, TX 6+ Months Job Details: Experience in Financial Services Regulatory Reporting...",https://www.dice.com/jobs/detail/Python-Developer-Key-Business-Solutions%2C-Inc.-New-York-NY-10001/RTL149247/6346303
Python Developer,"Collaborate Solutions, Inc.","New York, NY",4 days ago,Greetings from Collaborate Solutions Inc !! Collaborate Solutions is an Software Development & IT Consulting company with having...,https://www.dice.com/jobs/detail/Python-Developer-Collaborate-Solutions%2C-Inc.-New-York-NY-10001/10406960/6307929
Python Developer with SQL,Auritas,"New York, NY",18 hours ago,"Data Engineer/Python Developer 12 months New York, NY Must have 5+ years of development of Python Must have strong experience",https://www.dice.com/jobs/detail/Python-Developer-with-SQL-Auritas-New-York-NY-10001/70000157/6335371
python developer,Generic Solutions Inc,"New York, NY",12 hours ago,Job Title: Python Developer Duration: 12 Months Location: New York Role Create responsive web applications using Django / Python...,https://www.dice.com/jobs/detail/python-developer-Generic-Solutions-Inc-New-York-NY-10001/10222006/6348100
.NET Full Stack Web Developer with...,Wallstreet Consulting,"New York City, NY",moments ago,".NET Full Stack Web Developer with Angular,Python new york city interview type: In-Person Developer (C, C#, C++, .Net, Web) 5",https://www.dice.com/jobs/detail/.NET-Full-Stack-Web-Developer-with-Angular%2CPython-Wallstreet-Consulting-New-York-City-NY-10259/91017621/2019%26%2345199
Senior Python Developer,Cygnus Professionals,"New York, NY",21 hours ago,Skill Sets: Python Backend service (flask or Django) - has created and maintained API endpoints SQL Database Git Responsibilities:...,https://www.dice.com/jobs/detail/Senior-Python-Developer-Cygnus-Professionals-New-York-NY-10001/10426508/srpythondevelo
Python Developer,Primesoft Consulting Services Inc,"Jersey City, NJ",20 hours ago,"Job Role: Python Developer Location : Multiple locations ( NJ, NY and CA) Job Description : 5+ years of hands",https://www.dice.com/jobs/detail/Python-Developer-Primesoft-Consulting-Services-Inc-Jersey-City-NJ-07097/90838361/1213
Web/Mobile Developer(iOS...,BrickLogix,"Jersey City, NJ",2 weeks ago,"Email resume to HR at bricklogix.com Role: Web/Mobile Developer Location: 2 Montgomery Street, Jersey City NJ with possible meetings...",https://www.dice.com/jobs/detail/Web%26%2347Mobile-Developer%28iOS-frameworks-Core-Data%2C-Core-Animation%2C-Core-Graphics%2C-Core-Text%2C-Reactive-Native-Development%2C-UX-design-changes%2C-HTML5%2C-CSS-and-JavaScript%2C-PHP%2C-Python%2C-MySQL%2C-Adobe-Creative-Suite-%28Photoshop%2C-Illustrator%2C-XD%29%2C-WordPress%2C-Bootstrap%29-BrickLogix-Jersey-City-NJ-07097/10409520/6338433
Python Developer - OO Python...,StaffRight Associates,"New York, NY",6 days ago,*** This position is not eligible for any work visa sponsorship. Applicants must possess unrestricted US work authorization. ***...,https://www.dice.com/jobs/detail/Python-Developer-%26%2345-OO-Python-Programmer-StaffRight-Associates-New-York-NY-10001/90939179/28000
Python Engineer - DevOps Cloud,"Brains Workgroup, Inc.","New York, NY",3 days ago,"One of our DIRECT clients, major Hedge Fund in Manhattan, NY looking for Python Engineer with DevOps and AWS skills.",https://www.dice.com/jobs/detail/Python-Engineer-%26%2345-DevOps-Cloud-Brains-Workgroup%2C-Inc.-New-York-NY-10001/RTL499109/6129825
"BA,QA,NET,JAVA,Network engineer...",MMandRBconsulting INC,"New York, NY",8 months ago,Greetings of the day! This is John from MM&RB consulting Inc. MM&RB consulting is a highly recognized provider of professional,https://www.dice.com/jobs/detail/BA%2CQA%2CNET%2CJAVA%2CNetwork-engineer-%2CUI%2CPython-developer-MMandRBconsulting-INC-New-York-NY-10001/RTX1ce26b/5947269
"Python Developer-$10,000...",Access Staffing,"Jersey City, NJ",2 weeks ago,"Our direct client, a global financial services company is seeking a Python Developer for a full time career opportunity. Required",https://www.dice.com/jobs/detail/Python-Developer%26%2345%2410%2C000-relocation-assistance-%21%21%26%2345PD-Access-Staffing-Jersey-City-NJ-07097/accperny/6320870
Full-Stack Engineer (Python) -...,Gambit Technologies Inc,"New York, NY",1 day ago,Summary: An established NYC startup that is leveraging open source technologies and taking a data driven approach to humanizing...,https://www.dice.com/jobs/detail/Full%26%2345Stack-Engineer-%28Python%29-%26%2345-Health-Tech-Startup-%28%24170%26%2345250K%2B%29-Gambit-Technologies-Inc-New-York-NY-10001/10116662/NT95685972
"Python Developer Manhattan, NY --...",Cypress Group,"New York, NY",7 days ago,"Python Developer – Manhattan, NY -- $90K - $120K A digital agency that specializes in creating exhibits is looking to",https://www.dice.com/jobs/detail/Python-Developer-Manhattan%2C-NY-%26%2345%26%2345-%2490K-%26%2345-%24120K-Cypress-Group-New-York-NY-10038/10121728/KS%26%234591917%26%2345CG
Site Reliability Engineer with...,"Archer I.T., LLC","New York, NY",5 days ago,A Top financial firm in NYC is looking for a Senior Site Reliability Engineer. Need to strong with hands-on Object,https://www.dice.com/jobs/detail/Site-Reliability-Engineer-with-Strong-OOD-%28Python%2C-GO%2C-Java-or-C%2B%2B%29-and-Strong-Unix-%26%2347-Linux%21-200%26%2345450k%21-Archer-I.T.%2C-LLC-New-York-NY-10001/10340096/6117651
Sr Data Engineer || Python ||...,Amtex Systems Inc.,"New York, NY",20 hours ago,Key Responsibilities: Lead implementation of data strategy using enterprise data lake solution. Spark and Python expert. Hands-on...,https://www.dice.com/jobs/detail/Sr-Data-Engineer-%7C%7C-Python-%7C%7C-Spark%26%2347PySpark-%7C%7C-Financial-Clients-%7C%7C-Locals-%7C%7C-F2F-Amtex-Systems-Inc.-New-York-NY-10001/10124954/SDE0001
Entry-Intermediate level Software...,ConsultAdd,"New York, NY",1 week ago,Requirements of the Python Developer Front end experience with Angular as well as React and Django. Back end API services,https://www.dice.com/jobs/detail/Entry%26%2345Intermediate-level-Software-Developer-Python%26%2347Java-ConsultAdd-New-York-NY-10001/10504871/123123
Lead Software and Data Engineer -...,Botsford Associates LLC,"New York, NY",5 days ago,"A prestigious, multi-billion dollar hedge fund in midtown is looking for a senior tech lead to build out a state",https://www.dice.com/jobs/detail/Lead-Software-and-Data-Engineer-%26%2345-Python%2C-AWS%2C-Big-Data-to-support-Data-Science-at-Major-Hedge-Fund-%26%2345-%24350K%26%2347year-%2B-Botsford-Associates-LLC-New-York-NY-10001/10364413/6345786
QA Automaton Test Engineer...,CV Project LLC,"New York, NY",3 days ago,QA Automation Test Engineer We are looking for a 2 Test Consultants for one of NYC Largest Government clients to,https://www.dice.com/jobs/detail/QA-Automaton-Test-Engineer-%28Python%2C-White-Box-Testing%2C-UI-Automation%29-CV-Project-LLC-New-York-NY-10001/90767726/6260936
My SQL DBA/ Python Engineer,"NetSource, Inc.","Edison, NJ",18 hours ago,Please note that this is a 12 months contract position. Job description: The primary job responsibility is to migrate existing,https://www.dice.com/jobs/detail/My-SQL-DBA%26%2347-Python-Engineer-NetSource%2C-Inc.-Edison-NJ-08817/NETSO/4299
Python Developer with Database...,Virtusoft,"New York, NY",17 hours ago,"Role- Python Developer with Database experience Location- NYC/ Chicago, IL/ Austin, TX Job Details: Experience in Financial Services...",https://www.dice.com/jobs/detail/Python-Developer-with-Database-experience-Virtusoft-New-York-NY-10001/10275679/6346078
